Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R_1861,French Style Shallots with Herb de provence,French,"shallots, herb de provence, butter, beef, wine, cream, baguette",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,30,Medium,U_0326,"Indian, Japanese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-11-29,Autumn,Breakfast,4,778,Soy,14.63,5.1,Autumn
R_1488,Italian Style Mozzarella with Garlic,Italian,"mozzarella, garlic, pasta, parmesan, olive oil, basil, tomato sauce, oregano",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,35,Medium,U_0083,"Mediterranean, Indian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-05-26,Summer,Weeknight,2,335,None,11.1,5.3,Summer
R_1187,Mexican Style Beans with Lime,Mexican,"beans, lime, corn, tortilla, cilantro, tomato, jalapeno, avocado",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,30,Medium,U_0153,"Indian, Mexican, Time: Short",5.0,"Absolutely loved it, will make again!",2025-08-22,Summer,Healthy,4,764,Gluten,16.72,4.7,Summer
R_1970,French Style Baguette with Butter,French,"baguette, butter, herb de provence, beef, shallots, cheese",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,42,Medium,U_0447,"Mexican, Chinese, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-06-30,Year-round,Weeknight,4,239,Gluten,5.03,9.5,Year-round
R_0097,Greek Style Oregano with Lamb,Greek,"oregano, lamb, garlic, olive oil, cucumber, feta",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,44,Medium,U_0215,"Japanese, Thai, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-04-07,Autumn,Party,2,406,Nuts,3.2,9.4,Autumn
R_0509,Greek Style Olive oil with  tomato,Greek,"olive oil,  tomato, oregano, greek yogurt, cucumber, lamb, garlic, feta",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,140,Hard,U_0442,"French, Italian, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-02-02,Autumn,Dessert,1,485,Gluten,13.88,1.9,Autumn
R_1309,Italian Style Olive oil with Parmesan,Italian,"olive oil, parmesan, mozzarella, oregano, basil, garlic",1. Chop ingredients. 2. Cook for 21 mins. 3. Serve.,21,Easy,U_0410,"Greek, Mediterranean, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-02-23,Autumn,Party,2,586,None,8.89,3.6,Autumn
R_1920,American Style Bun with Mayo,American,"bun, mayo, lettuce, tomato, beef patty",1. Chop ingredients. 2. Cook for 14 mins. 3. Serve.,14,Easy,U_0067,"Indian, Chinese, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-11-17,Spring,Festive,6,525,Eggs,20.23,8.8,Spring
R_1463,Mediterranean Style Feta cheese with Chickpeas,Mediterranean,"feta cheese, chickpeas, lemon, olives",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,34,Medium,U_0040,"Mediterranean, Italian, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-04-18,Year-round,Dessert,1,621,Seafood,6.68,2.1,Year-round
R_1125,Thai Style Coconut milk with Shrimp,Thai,"coconut milk, shrimp, peanut butter, curry paste,  lemongrass, fish sauce",1. Chop ingredients. 2. Cook for 20 mins. 3. Serve.,20,Easy,U_0279,"Chinese, Italian, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-12-24,Year-round,Breakfast,2,293,Seafood,10.12,2.7,Year-round
R_0151,Indian Style Coconut milk with Onion,Indian,"coconut milk, onion, cumin, ginger, turmeric",1. Chop ingredients. 2. Cook for 20 mins. 3. Serve.,20,Easy,U_0008,"Chinese, Mexican, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-09-09,Winter,Dessert,4,650,Soy,24.23,2.5,Winter
